Character (decimal)	Decimal	Character (hex)	Hex	Name
⠀	10240	⠀	2800	BRAILLE PATTERN BLANK
⠁	10241	⠁	2801	BRAILLE PATTERN DOTS-1
⠂	10242	⠂	2802	BRAILLE PATTERN DOTS-2
⠃	10243	⠃	2803	BRAILLE PATTERN DOTS-12
⠄	10244	⠄	2804	BRAILLE PATTERN DOTS-3
⠅	10245	⠅	2805	BRAILLE PATTERN DOTS-13
⠆	10246	⠆	2806	BRAILLE PATTERN DOTS-23
⠇	10247	⠇	2807	BRAILLE PATTERN DOTS-123
⠈	10248	⠈	2808	BRAILLE PATTERN DOTS-4
⠉	10249	⠉	2809	BRAILLE PATTERN DOTS-14
⠊	10250	⠊	280A	BRAILLE PATTERN DOTS-24
⠋	10251	⠋	280B	BRAILLE PATTERN DOTS-124
⠌	10252	⠌	280C	BRAILLE PATTERN DOTS-34
⠍	10253	⠍	280D	BRAILLE PATTERN DOTS-134
⠎	10254	⠎	280E	BRAILLE PATTERN DOTS-234
⠏	10255	⠏	280F	BRAILLE PATTERN DOTS-1234
⠐	10256	⠐	2810	BRAILLE PATTERN DOTS-5
⠑	10257	⠑	2811	BRAILLE PATTERN DOTS-15
⠒	10258	⠒	2812	BRAILLE PATTERN DOTS-25
⠓	10259	⠓	2813	BRAILLE PATTERN DOTS-125
⠔	10260	⠔	2814	BRAILLE PATTERN DOTS-35
⠕	10261	⠕	2815	BRAILLE PATTERN DOTS-135
⠖	10262	⠖	2816	BRAILLE PATTERN DOTS-235
⠗	10263	⠗	2817	BRAILLE PATTERN DOTS-1235
⠘	10264	⠘	2818	BRAILLE PATTERN DOTS-45
⠙	10265	⠙	2819	BRAILLE PATTERN DOTS-145
⠚	10266	⠚	281A	BRAILLE PATTERN DOTS-245
⠛	10267	⠛	281B	BRAILLE PATTERN DOTS-1245
⠜	10268	⠜	281C	BRAILLE PATTERN DOTS-345
⠝	10269	⠝	281D	BRAILLE PATTERN DOTS-1345
⠞	10270	⠞	281E	BRAILLE PATTERN DOTS-2345
⠟	10271	⠟	281F	BRAILLE PATTERN DOTS-12345
⠠	10272	⠠	2820	BRAILLE PATTERN DOTS-6
⠡	10273	⠡	2821	BRAILLE PATTERN DOTS-16
⠢	10274	⠢	2822	BRAILLE PATTERN DOTS-26
⠣	10275	⠣	2823	BRAILLE PATTERN DOTS-126
⠤	10276	⠤	2824	BRAILLE PATTERN DOTS-36
⠥	10277	⠥	2825	BRAILLE PATTERN DOTS-136
⠦	10278	⠦	2826	BRAILLE PATTERN DOTS-236
⠧	10279	⠧	2827	BRAILLE PATTERN DOTS-1236
⠨	10280	⠨	2828	BRAILLE PATTERN DOTS-46
⠩	10281	⠩	2829	BRAILLE PATTERN DOTS-146
⠪	10282	⠪	282A	BRAILLE PATTERN DOTS-246
⠫	10283	⠫	282B	BRAILLE PATTERN DOTS-1246
⠬	10284	⠬	282C	BRAILLE PATTERN DOTS-346
⠭	10285	⠭	282D	BRAILLE PATTERN DOTS-1346
⠮	10286	⠮	282E	BRAILLE PATTERN DOTS-2346
⠯	10287	⠯	282F	BRAILLE PATTERN DOTS-12346
⠰	10288	⠰	2830	BRAILLE PATTERN DOTS-56
⠱	10289	⠱	2831	BRAILLE PATTERN DOTS-156
⠲	10290	⠲	2832	BRAILLE PATTERN DOTS-256
⠳	10291	⠳	2833	BRAILLE PATTERN DOTS-1256
⠴	10292	⠴	2834	BRAILLE PATTERN DOTS-356
⠵	10293	⠵	2835	BRAILLE PATTERN DOTS-1356
⠶	10294	⠶	2836	BRAILLE PATTERN DOTS-2356
⠷	10295	⠷	2837	BRAILLE PATTERN DOTS-12356
⠸	10296	⠸	2838	BRAILLE PATTERN DOTS-456
⠹	10297	⠹	2839	BRAILLE PATTERN DOTS-1456
⠺	10298	⠺	283A	BRAILLE PATTERN DOTS-2456
⠻	10299	⠻	283B	BRAILLE PATTERN DOTS-12456
⠼	10300	⠼	283C	BRAILLE PATTERN DOTS-3456
⠽	10301	⠽	283D	BRAILLE PATTERN DOTS-13456
